file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/Java-WebSocket/src/net/tootallnate/websocket/exeptions/InvalidHandshakeException.java,net.tootallnate.websocket.exeptions.InvalidHandshakeException,class,1,5,4,1,4,4,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/Java-WebSocket/src/net/tootallnate/websocket/WebSocketServer.java,net.tootallnate.websocket.WebSocketServer,class,5,7,2,5,46,2,1,45,137,0.8484848,0.22380953,0.37142858,22,0,20,1,1,0,21,4,0,0,6,1,0,6,0,0,2,0,4,147,6,7,3,2,8,8,9,17,10,16,5,0,0,0,216,1025,0
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/Java-WebSocket/src/net/tootallnate/websocket/Base64.java,net.tootallnate.websocket.Base64$OutputStream,innerclass,3,3,0,3,25,3,0,9,0,0.6375,0.53571427,0.75,8,0,8,0,0,0,8,0,0,0,10,0,0,10,0,0,0,0,4,92,2,1,3,0,2,2,19,23,1,12,3,0,0,0,137,9,0
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/Java-WebSocket/src/net/tootallnate/websocket/HandshakedataImpl1.java,net.tootallnate.websocket.HandshakedataImpl1,class,3,7,4,3,15,1,0,13,18,0.6875,0.36363637,1.0,12,0,12,0,0,0,12,0,0,0,4,0,0,4,0,0,0,0,1,54,7,1,2,0,0,2,0,11,0,7,1,0,0,0,30,1,0
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/Java-WebSocket/src/net/tootallnate/websocket/FrameBuilder.java,net.tootallnate.websocket.FrameBuilder,interface,3,6,3,3,4,1,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/Java-WebSocket/src/net/tootallnate/websocket/exeptions/InvalidDataException.java,net.tootallnate.websocket.exeptions.InvalidDataException,class,0,2,2,0,4,3,2,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/Java-WebSocket/src/net/tootallnate/websocket/Draft.java,net.tootallnate.websocket.Draft,class,10,20,10,10,32,1,2,27,105,0.93333334,0.0,0.0,15,3,14,0,1,0,15,8,0,0,1,1,0,1,0,0,1,0,10,101,9,4,11,0,1,19,16,29,11,21,3,0,1,0,116,1025,0
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/Java-WebSocket/src/net/tootallnate/websocket/Framedata.java,net.tootallnate.websocket.Framedata$Opcode,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/Java-WebSocket/src/net/tootallnate/websocket/exeptions/InvalidFrameException.java,net.tootallnate.websocket.exeptions.InvalidFrameException,class,1,1,0,1,4,4,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/Java-WebSocket/src/net/tootallnate/websocket/FramedataImpl1.java,net.tootallnate.websocket.FramedataImpl1,class,6,10,4,6,13,1,0,11,36,0.7833333,0.22727273,0.34848484,12,0,12,0,0,0,12,0,0,0,5,1,0,5,0,0,0,0,5,50,5,0,1,0,0,6,0,9,2,6,1,0,0,0,32,1,0
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/Java-WebSocket/src/net/tootallnate/websocket/Handshakedata.java,net.tootallnate.websocket.Handshakedata,interface,1,11,10,1,6,1,0,0,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
